id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
12945,Passo Fundo,,1694711701,1697300554,47,17,0,0,0,0,2,11847.0000,11847.0000,NULL,30,23,14.6129,74.1935,19.6957,23,4,2,19,52,57,41,15,0,0.947246171,0.6071,0.3571,17,46,0.9456945882353,8,NULL,8.0000
12946,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12947,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12948,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12949,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12950,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12951,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12952,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12953,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12954,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12955,Passo Fundo,,1695924725,1695924901,33,33,0,0,0,0,0,NULL,NULL,NULL,5,2,2.0000,NULL,NULL,2,0,1,0,1,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12956,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12957,Passo Fundo,,1694712209,1694727089,47,47,0,0,0,0,1,419.0000,419.0000,NULL,0,1,70.0000,NULL,NULL,1,1,1,2,52,54,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
12958,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12959,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12960,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12961,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12962,Passo Fundo,,1695166687,1695166932,42,42,0,0,0,0,0,NULL,NULL,NULL,0,1,10.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12963,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12964,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,0,1,1.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12965,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12966,Passo Fundo,,1695147434,1695147434,42,42,0,0,0,0,0,NULL,NULL,NULL,0,1,2.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12967,Passo Fundo,,1696111137,1696111853,31,31,0,0,0,0,0,NULL,NULL,NULL,0,1,7.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12968,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12969,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13017,,,1694867627,1696180667,45,30,0,0,0,0,2,700.5000,700.5000,NULL,15,4,13.3125,NULL,NULL,4,3,2,7,53,57,41,12,1,0.969230769,2.0000,1.0000,6,57,0.9666666666667,0,NULL,NULL
13018,,,1694872582,1695152417,45,42,0,0,0,0,2,1728.5000,1728.5000,NULL,3,2,28.2500,NULL,NULL,2,1,1,5,54,57,45,9,1,0.920000000,NULL,NULL,2,61,0.9000000000000,0,NULL,NULL
13019,,,1694957132,1696099187,44,31,0,0,0,0,4,10970.2500,10970.2500,78.793103448,13,6,25.4286,NULL,NULL,6,4,2,19,100,67,43,19,1,0.989182122,3.5000,0.8333,21,42,0.9873791428571,47,NULL,47.0000
13020,Passo Fundo,,1695951195,1696015691,33,32,0,0,0,0,2,1758.5000,1758.5000,NULL,1,2,39.5000,NULL,NULL,2,1,2,2,61,58,44,10,1,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13021,Passo Fundo,,1695077930,1696358328,43,28,0,0,0,0,2,2055.5000,2055.5000,NULL,15,3,5.6250,NULL,NULL,3,0,1,0,54,58,48,6,1,1.000000000,0.1333,0.1333,2,61,1.0000000000000,0,NULL,NULL
13022,Passo Fundo,,1695051038,1698754144,43,0,0,0,0,0,3,845.6667,845.6667,40.862068965,43,12,12.5000,27.2727,45.8333,12,6,6,33,113,64,40,17,1,0.937019692,0.4524,0.1667,19,44,0.9353623157895,9,NULL,9.0000
13023,Passo Fundo,,1695211994,1695212788,41,41,0,0,0,0,1,256.0000,256.0000,NULL,0,1,30.0000,NULL,NULL,1,1,1,2,10,0,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
