id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
10504,Passo Fundo,,1690409938,1690409938,47,47,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10505,Passo Fundo,,1690811011,1690811011,42,42,0,0,0,0,0,NULL,NULL,NULL,0,1,7.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10506,Passo Fundo,,1690401218,1690401376,47,47,0,0,0,0,0,NULL,NULL,NULL,0,1,10.0000,NULL,NULL,1,0,1,0,3,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10507,Passo Fundo,,1690396923,1690482277,47,46,0,0,0,0,1,33.0000,33.0000,NULL,1,2,20.0000,NULL,NULL,2,0,1,0,12,0,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
10508,Passo Fundo,,1690400281,1694258886,47,2,0,0,1,0,5,8054.0000,8054.0000,82.727272727,45,31,44.9348,67.3913,66.6774,31,10,14,60,266,62,49,12,1,0.997549020,0.5500,0.3000,22,41,0.9971590909091,84,7.0000,16.8000
10509,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10510,Passo Fundo,,1690396599,1690398743,47,47,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10511,Passo Fundo,,1690859824,1693072277,41,16,0,0,0,0,2,432769.5000,432769.5000,NULL,25,8,9.8846,NULL,NULL,8,3,5,10,123,60,46,10,1,1.000000000,0.6875,0.3125,11,52,1.0000000000000,0,NULL,NULL
10512,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,0,1,1.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10513,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10516,,,1690467641,1691542816,46,34,0,0,0,0,2,340825.0000,340825.0000,NULL,12,4,6.6923,NULL,NULL,4,1,3,1,49,61,52,6,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
10521,,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10530,,,1690662696,1690662696,44,44,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10560,,,1690808687,1694466059,42,0,0,0,0,0,0,NULL,NULL,NULL,42,13,1.9070,30.2326,6.3077,13,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10566,Passo Fundo,,1691438365,1691440004,35,35,0,0,0,0,2,776.5000,776.5000,NULL,0,1,48.0000,NULL,NULL,1,0,1,0,35,61,52,5,1,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
10567,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10568,Passo Fundo,,1691157633,1693837707,38,7,0,0,0,0,2,2244.0000,2244.0000,NULL,31,2,3.0313,NULL,NULL,2,1,1,1,78,58,54,3,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
10569,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10570,Passo Fundo,,1690829780,1693349411,42,13,0,0,0,0,2,914.0000,914.0000,NULL,29,6,5.7000,NULL,NULL,6,3,3,9,62,59,53,2,1,0.944545467,0.4118,0.2353,7,56,0.9405844285714,0,NULL,NULL
10571,Passo Fundo,,1690827091,1690827413,42,42,0,0,0,0,0,NULL,NULL,NULL,0,1,7.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10572,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10573,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10574,Passo Fundo,,1691006627,1693310689,40,13,0,0,0,0,2,584.5000,584.5000,NULL,27,4,3.0357,NULL,NULL,4,0,1,0,32,58,51,3,1,1.000000000,0.1600,0.0800,4,59,1.0000000000000,0,NULL,NULL
10575,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10576,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10577,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10578,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
